55.5,61.25,42,67.25,
62.5,41,39.25,61.25,
89.75,49.75,88,54.75,
46.75,103,61,58.75,
31.75,53.25,48.75,94.75,
38.5,70,62.5,83.5,
33.75,13,3.5,13.75,
52.25,46,35,35.25,
52.75,44.75,43.5,19.75,
49,41.75,57.5,61.25,
137.5,164.5,147.25,167,
53,51,52,76,
34.75,21.5,31,36,
47.25,46,61,50.75,
44.5,50.75,31.5,37.25,
32.25,44.25,45.5,64.25,
58.25,54.5,57,32,
31,24.75,30.75,33.5,
54.25,55.75,31.25,44.5,
16.25,17,26.5,20.5,
19.75,21.5,8.25,14.5,
80.5,95.75,98,89,
58,47.5,39.75,41.25,
71.5,60.5,99.5,42.25,
65.75,75.75,40.25,50.5,
40.75,30.75,24.5,36,
101.75,77.75,79.5,107,
11.5,25.5,13.5,8.5,
48.75,102.75,89.25,81,
37.5,31.25,24.75,32.25,
