Team,POP,INC,Mean Cold,WINT,a,b,H_t,h_t
Anaheim Ducks,5.552807,65052,21,0,23872.2091,1256.5751,90.2294,0.769582416779387
Arizona Coyotes,4.459692,46430,20,0,26569.6757,1330.5856,99.6843,0.850224921244755
Boston Bruins,4.725601,76204,2,1,27631.2531,1251.2492,121.914,1.03982594098201
Buffalo Sabres,1.133666,64090,0,1,25899.9405,1241.9735,108.7209,0.927299671464401
Calgary Flames,1.4018,69826,-1,1,25566.3899,1229.4164,108.1137,0.922120755906186
Carolina Hurricanes,1.244021,51729,11,0,22711.876,1258.0512,81.4797,0.694954687102645
Chicago Blackhawks,9.568133,58861,-1,1,32472.5174,1339.6617,146.8864,1.25281993124219
Colorado Avalanche,2.746768,61795,6,1,28460.176,1281.8863,123.2299,1.05104948344422
Columbus Blue Jackets,1.988002,54780,3,1,28918.0283,1299.425,123.8155,1.05604416880472
Dallas Stars,6.937652,59483,14,0,25195.9012,1285.8766,95.9845,0.818668676544021
Detroit Red Wings,4.286134,48421,0,1,32487.182,1358.8221,142.9022,1.2188379889381
Edmonton Oilers,1.3203,62832,-6,1,26458.4329,1251.9393,111.6611,0.952377154211873
Florida Panthers,5.905918,44480,25,0,27701.5572,1351.9469,104.9613,0.895233382049601
LA Kings,7.668163,65052,20,0,24583.7917,1267.9831,93.9747,0.801526738979954
Minnesota Wild,3.49162,60544,-5,1,29313.3379,1295.4964,127.9965,1.09170465291028
Montreal Canadians,4.0112,38867,-5,1,35078.3776,1413.4876,153.9696,1.31323378941404
Nashville Predators,1.785349,53193,8,0,23225.5464,1264.1947,84.3809,0.719699531993117
New Jersey Devils,5.419961,69915,4,1,28900.5599,1276.5556,128.1366,1.09289959044273
NY Islanders,4.014786,69915,4,1,28121.9798,1265.8737,123.3818,1.05234506525136
NY Rangers,10.639183,69915,4,1,30729.9067,1300.8921,139.5018,1.18983537947803
Ottawa Senators,1.3184,44149,-6,1,30215.1591,1337.7141,127.5449,1.08785287710974
Philly Flyers,6.06056,57166,5,1,31495.488,1329.9238,140.2113,1.19588682972268
Pittsburgh Penguins,2.361681,58615,2,1,28635.7681,1289.2109,123.3417,1.05200304530096
San Jose Sharks,1.945539,82414,14,0,19849.6403,1167.1598,72.3077,0.616725086476901
St. Louis Blues,2.80776,50070,4,1,30868.649,1334.4001,133.7837,1.14106469921875
Tampa Bay Lightning,2.895946,44999,21,0,25848.934,1322.352,95.5281,0.814775960699539
Toronto Maple Leafs,6.0368,45771,-1,1,34233.6201,1386.5012,152.4071,1.29990695219449
Vanvouver Canucks,2.4766,44337,6,1,31948.2055,1360.4518,137.869,1.17590894119829
Washington Capitals,6.056296,73017,6,1,28720.5782,1270.1267,127.8298,1.090282839301
Winnipeg Jets,0.7785,41719,-11,1,29421.4851,1332.2235,121.9312,1.03997264280612
Las Vegas,2.051796,45744,14,0,24896.4995,1305.6199,90.904,0.775336198787905
